temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,time
71.8,72.63,69.57,73.22,1013,84,1013,1009,25-Jul-2025 07:58:59
71.74,72.57,69.51,73.22,1013,84,1013,1009,25-Jul-2025 09:08:30
72.1,72.97,69.89,73.45,1013,84,1013,1009,25-Jul-2025 10:03:23
72.99,73.89,71.01,74.57,1013,83,1013,1009,25-Jul-2025 11:00:14
76.06,77.18,74.43,77.72,1012,81,1012,1009,25-Jul-2025 12:08:44
80.83,84.83,78.89,83.26,1012,73,1012,1008,25-Jul-2025 13:10:09
85.05,92.07,82.99,88.27,1012,68,1012,1008,25-Jul-2025 13:56:13
89.98,100.2,87.31,92.5,1011,61,1011,1007,25-Jul-2025 15:08:12
92.57,104.79,90.28,94.33,1011,58,1011,1007,25-Jul-2025 16:08:02
93.6,105.31,90.72,96.15,1010,55,1010,1006,25-Jul-2025 17:01:54
94.53,105.51,91.72,97.09,1010,52,1010,1005,25-Jul-2025 18:07:27
91.78,102.16,88.02,94.41,1009,57,1009,1005,25-Jul-2025 18:59:23
90.01,101.46,87.3,92.44,1009,63,1009,1004,25-Jul-2025 20:08:48
89.56,100.33,86.99,92.77,1009,63,1009,1004,25-Jul-2025 21:02:50
87.15,95.56,84.24,89.78,1009,65,1009,1005,25-Jul-2025 22:00:58
83.93,89.38,80.24,86.13,1010,67,1010,1006,25-Jul-2025 22:55:00
82.17,86.31,78.35,83.44,1012,68,1012,1007,26-Jul-2025 00:17:00
80.46,83.7,76.37,82.35,1013,70,1013,1009,26-Jul-2025 01:33:19
79.2,79.2,75.38,80.65,1014,71,1014,1010,26-Jul-2025 02:38:08
77.77,78.64,74.37,79.65,1014,72,1014,1010,26-Jul-2025 03:31:17
76.86,77.58,73.15,78.42,1014,71,1014,1010,26-Jul-2025 04:11:17
74.95,75.58,71.38,76.64,1015,73,1015,1011,26-Jul-2025 05:07:35
73.36,73.89,69.53,75.15,1016,74,1016,1011,26-Jul-2025 06:09:27
71.58,72.01,68.2,73.65,1016,76,1016,1012,26-Jul-2025 07:00:12
69.78,70.09,66,71.98,1017,77,1017,1012,26-Jul-2025 08:00:01
68,68.02,64.2,70.14,1017,75,1017,1013,26-Jul-2025 09:05:30
66.61,66.69,63.01,68.99,1018,79,1018,1014,26-Jul-2025 09:59:44
67.41,67.42,63.37,69.48,1019,76,1019,1014,26-Jul-2025 11:04:29
71.37,71.2,68,73.15,1019,64,1019,1015,26-Jul-2025 12:10:09
74.32,73.99,71.73,76.19,1020,54,1020,1015,26-Jul-2025 13:14:25
76.55,76.12,73.89,79,1020,47,1020,1016,26-Jul-2025 14:03:37
79.02,79.02,75.99,81.25,1020,42,1020,1015,26-Jul-2025 15:03:55
79.83,79.83,76.95,82.53,1019,40,1019,1015,26-Jul-2025 16:01:59
80.2,80.15,76.95,83.52,1019,41,1019,1015,26-Jul-2025 16:54:30
80.33,80.17,77.45,83.77,1019,40,1019,1014,26-Jul-2025 18:05:41
79.79,79.79,77.09,83.32,1019,41,1019,1014,26-Jul-2025 19:01:19
79.38,79.38,76.08,82.26,1018,40,1018,1014,26-Jul-2025 19:55:00
78.76,78.76,75.24,81.14,1018,39,1018,1014,26-Jul-2025 20:58:23
78.01,77.4,74.14,80.29,1018,40,1018,1014,26-Jul-2025 22:00:00
75.15,74.57,71.55,77.32,1018,47,1018,1014,26-Jul-2025 23:07:17
72.12,71.56,68.11,74.16,1018,54,1018,1014,27-Jul-2025 00:28:39
71.26,70.75,66.31,73.17,1019,57,1019,1015,27-Jul-2025 01:31:59
69.44,69.19,65.5,71.35,1019,66,1019,1015,27-Jul-2025 02:47:51
69.3,69.03,64.89,71.1,1019,66,1019,1015,27-Jul-2025 03:25:49
67.96,67.71,64.15,69.85,1019,69,1019,1015,27-Jul-2025 04:24:06
67.62,67.33,63.88,69.35,1018,69,1018,1015,27-Jul-2025 05:07:33
67.05,66.74,63,68.34,1018,70,1018,1014,27-Jul-2025 06:05:26
66.33,66.09,62.26,68.07,1018,73,1018,1014,27-Jul-2025 07:00:22
65.44,65.26,61.57,67.33,1018,76,1018,1013,27-Jul-2025 08:04:04
